Time,latitude,longitude,altitude,roll,pitch,heading,airspeed,vertical_speed
204,39.14734079,-84.67632304,5072.045133,3.414064916,18.04577923,13.18464448,122.7717555,36.07170124
205,39.14795771,-84.67614472,5108.868068,3.441327778,18.33529487,13.66417621,121.9893249,36.13760142
206.008,39.14856978,-84.67596204,5145.856216,3.260725544,18.72292591,14.1009084,121.1323266,36.39405729
207.008,39.14918077,-84.67577394,5183.888567,3.236828869,21.03399758,14.50839357,119.8193482,38.24547822
208,39.14976946,-84.67558693,5225.102369,3.082042233,25.55312323,14.85133826,117.1503144,44.25622996
209,39.15034874,-84.67539829,5269.029523,1.922911486,32.32204642,15.11362356,115.6980262,38.8751104
210,39.15092819,-84.67520839,5304.635683,-0.01358618624,37.11942295,14.840321,114.8565204,31.55429496
211,39.15150607,-84.67501932,5334.068543,-0.8099778326,39.28188689,14.04433069,113.8238934,26.09375968
212,39.15207823,-84.67483407,5358.607297,1.862275631,45.21243415,13.3156633,111.3584406,22.13836357
213,39.15263433,-84.67465695,5380.343796,1.796938703,51.62230486,14.64461926,106.7402239,20.34268128
214,39.15316571,-84.6744883,5399.795311,1.34457838,56.28477072,16.26742707,101.24847,16.82509134
215,39.15367021,-84.67432669,5414.173987,0.7151360901,60.39246511,15.95854672,95.47554127,10.34715384
216,39.15414737,-84.67417308,5420.716141,-1.360821987,62.52457754,13.7240614,89.8252754,1.26898282
217,39.15459915,-84.67402896,5417.23794,-2.437554644,62.63357783,10.9542902,85.07992729,-9.512395248
218,39.15502933,-84.67389557,5402.462023,-1.597437269,61.27439095,9.855849124,81.55840632,-21.19310818
219,39.15544166,-84.67377266,5375.779794,-0.8612465969,58.94957364,11.37720508,79.39090383,-33.22755962
220,39.15583937,-84.67365693,5337.029573,-2.598251626,55.84579311,13.8943237,78.55101146,-45.25184103
221,39.1562248,-84.67354316,5286.395036,-5.403879954,51.93826581,14.4081094,78.81756106,-56.9346579
222,39.15660068,-84.67342848,5224.319891,-7.119086595,47.07651379,11.70661853,80.16144115,-68.11096095
223.008,39.15697449,-84.67331358,5150.694349,-8.730158226,41.38394704,7.318168719,82.55698681,-78.80652136
224.008,39.15734538,-84.67320423,5067.355944,-9.935363683,35.03972747,3.091854074,85.8203378,-88.71394711
225,39.15771704,-84.67310518,4976.268452,-8.716252949,23.46060893,1.062579092,90.28884195,-97.47112452
226.008,39.15811952,-84.67301539,4874.372397,-5.441471175,6.981643858,1.590642103,97.73305447,-105.6661365
227,39.15855876,-84.67293668,4763.881614,1.704446159,-5.649641499,3.662058684,108.8251075,-117.4353695
228,39.15904592,-84.67285935,4640.282573,17.80593809,-10.6704211,7.809704992,121.1055899,-130.5350875
229,39.15957938,-84.67276556,4504.150985,25.84804679,-9.221264863,20.01822585,132.6160131,-142.4328124
230.108,39.16005712,-84.67264839,4383.00026,20.56193446,0.2316485427,33.81884487,138.795136,-144.9339935
231,39.16072193,-84.67239405,4222.116628,20.30787888,10.35818706,40.67692861,139.5343727,-134.6083172
232.008,39.16129796,-84.67208889,4093.31842,20.33705338,15.6771884,40.36754854,138.2852469,-121.8751166
233,39.16186049,-84.67173317,3978.857958,19.46966589,19.40108859,41.75586168,136.4023302,-108.3871843
234.125,39.16241093,-84.67133671,3877.451714,16.51414997,22.47562978,45.56066143,134.1574652,-96.00299594
235.008,39.16294757,-84.67090037,3786.932049,14.47398799,25.53647518,47.85885549,131.5006073,-84.92611513
236.008,39.16323146,-84.67064913,3742.192919,14.31019199,25.09213825,47.44169968,130.2072704,-78.98577162
237,39.16395344,-84.66995454,3638.727178,13.40536403,18.68412381,46.36798391,130.6349537,-68.66357483
238,39.16445684,-84.66942956,3571.682467,9.69704192,17.37606447,48.22059975,133.2459566,-65.66553426
239,39.16495471,-84.66887699,3508.115917,7.367597736,17.56482328,48.40364872,135.9111292,-62.56628074
240.008,39.16545711,-84.66829117,3447.507011,6.07156257,18.22881553,46.87680939,138.5064915,-58.68637378
241.008,39.16595938,-84.66768841,3391.664157,5.537056051,18.81587356,46.10490616,140.8116766,-54.10344963
242,39.16646267,-84.66707363,3341.091099,5.890353111,19.69844167,47.14462555,142.7762978,-48.99830237
243.008,39.16697722,-84.66643137,3295.149832,6.645184403,20.37990487,49.08283728,144.4308569,-43.29273575
244,39.16748247,-84.66578101,3255.588577,7.576494149,20.74493961,50.58603192,145.8916448,-37.71762151
245,39.16798819,-84.66510639,3221.299781,8.143242626,21.60992513,51.58770996,146.945485,-32.02454543
246,39.168488,-84.66441511,3192.803427,8.113097701,22.41008181,52.45936251,147.5645768,-26.16324965
247,39.1689805,-84.66370965,3170.099317,7.746369968,22.65207077,53.29790856,147.8820758,-20.47716144
248.008,39.16946906,-84.66298567,3152.561132,7.013067025,21.25591192,53.83673951,148.209597,-15.77374533
249.008,39.16994634,-84.66225599,3139.069921,6.269798147,20.54385065,54.18855241,148.6790202,-12.50584941
